layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
5,conv3.0.0,21,-680,11,10,0.10343006253242493,0.0015102913603186607,0.14825761318206787,0.0010536358065343125,0.0009765625,0.07314985506028596,True,True
5,conv3.0.0,22,3978,13,10,0.10343006253242493,0.0014144444139674306,0.14825761318206787,0.0009867693877253472,0.0009765625,0.010343741762070329,True,True
5,conv3.0.0,23,119,8,10,0.10343006253242493,0.0015049059875309467,0.14825761318206787,0.0010498787688197658,0.0009765625,0.06983308073005919,True,True
5,conv3.0.0,24,174,9,10,0.10343006253242493,0.001803866121917963,0.14825761318206787,0.0012584445532721172,0.0009765625,0.22399242981280956,True,True
5,conv3.0.0,25,3777,13,10,0.10343006253242493,0.0011671367101371288,0.14825761318206787,0.0008142382729791105,0.0009765625,0.19935715675336968,True,True
5,conv3.0.0,26,-3747,13,11,0.10343006253242493,0.0009139108005911112,0.14825761318206787,0.0006375783963155715,0.00048828125,0.2341628059832761,True,True
5,conv3.0.0,27,-289,10,10,0.10343006253242493,0.0018494180403649807,0.14825761318206787,0.0012902232772939392,0.0009765625,0.243105811849712,True,True
5,conv3.0.0,28,-386,10,9,0.10343006253242493,0.0024113256949931383,0.14825761318206787,0.0016822310980610692,0.001953125,0.16103251345856207,True,True
5,conv3.0.0,29,-1381,12,10,0.10343006253242493,0.0012295732740312815,0.14825761318206787,0.0008577963579184074,0.0009765625,0.13845493861713207,True,True
5,conv3.0.0,30,3257,13,10,0.10343006253242493,0.0012441306607797742,0.14825761318206787,0.0008679521360224045,0.0009765625,0.12513404768531153,True,True
5,conv3.0.0,31,-2741,13,10,0.10343006253242493,0.001076928456313908,0.14825761318206787,0.0007513056172211996,0.0009765625,0.29982057582897087,True,True
5,conv3.0.0,32,1248,12,10,0.10343006253242493,0.0018893714295700192,0.14825761318206787,0.0013180962576769747,0.0009765625,0.2591113931837551,True,True
5,conv3.0.0,33,-90,8,9,0.10343006253242493,0.0019991332665085793,0.14825761318206787,0.0013946702252093362,0.001953125,0.4004206619574468,True,True
5,conv3.0.0,34,1364,12,9,0.10343006253242493,0.0022467595990747213,0.14825761318206787,0.0015674236272928993,0.001953125,0.24607347113507935,True,True
5,conv3.0.0,35,-702,11,10,0.10343006253242493,0.0013285356108099222,0.14825761318206787,0.0009268361897468058,0.0009765625,0.05365167092447961,True,True
5,conv3.0.0,36,-2062,13,10,0.10343006253242493,0.0014695300487801433,0.14825761318206787,0.001025199189278407,0.0009765625,0.04744120926650389,True,True
5,conv3.0.0,37,212,9,10,0.10343006253242493,0.0012471185764297843,0.14825761318206787,0.0008700366178637695,0.0009765625,0.12243838931490851,True,True
5,conv3.0.0,38,-853,11,10,0.10343006253242493,0.0010548169957473874,0.14825761318206787,0.0007358798343558708,0.0009765625,0.32706789126081054,True,True
5,conv3.0.0,39,494,10,10,0.10343006253242493,0.0014872042229399085,0.14825761318206787,0.0010375293549900902,0.0009765625,0.05876157112747187,True,True
5,conv3.0.0,40,-236,9,10,0.10343006253242493,0.0011525658192113042,0.14825761318206787,0.0008040730738553364,0.0009765625,0.21451959001390056,True,True
5,conv3.0.0,41,-688,11,10,0.10343006253242493,0.001636523986235261,0.14825761318206787,0.001141700413214257,0.0009765625,0.14464207186309072,True,True
5,conv3.0.0,42,-109,8,10,0.10343006253242493,0.0018188714748248458,0.14825761318206787,0.0012689128493425122,0.0009765625,0.23039434859060154,True,True
5,conv3.0.0,43,982,11,10,0.10343006253242493,0.001278518233448267,0.14825761318206787,0.0008919421943749066,0.0009765625,0.09487196161226255,True,True
5,conv3.0.0,44,-3329,13,10,0.10343006253242493,0.0013925157254561782,0.14825761318206787,0.0009714711134897598,0.0009765625,0.00524090365584901,True,True
5,conv3.0.0,45,-1279,12,10,0.10343006253242493,0.001426069182343781,0.14825761318206787,0.0009948792614396524,0.0009765625,0.0184110395598627,True,True
5,conv3.0.0,46,-841,11,10,0.10343006253242493,0.0012515155831351876,0.14825761318206787,0.0008731041343894596,0.0009765625,0.11849487539408607,True,True
5,conv3.0.0,47,756,11,11,0.10343006253242493,0.0007078084745444357,0.14825761318206787,0.0004937936960660989,0.00048828125,0.011163459780906233,True,True
