ring_j,inner_T,outer_T,size,bx,by,bz,n_samples,coverage_Rjk,p95_nb,reshape_frac,mean_nb,max_nb,passes_q
14,224,240,16x16x8,16,16,8,2666,0.923856,150.75,0.076144,49.36,544,0
15,240,256,4x4x8,4,4,8,14106,1.000000,40.00,0.000000,13.46,125,1
15,240,256,8x4x8,8,4,8,9187,0.999238,54.00,0.000762,17.25,172,1
15,240,256,8x8x8,8,8,8,5871,0.995231,71.00,0.004769,22.49,235,1
15,240,256,16x8x8,16,8,8,3826,0.973340,101.00,0.026660,31.03,318,1
15,240,256,16x16x8,16,16,8,2532,0.943918,135.00,0.056082,42.22,401,0
16,256,272,4x4x8,4,4,8,12370,0.999919,39.00,0.000081,13.00,142,1
16,256,272,8x4x8,8,4,8,7970,0.999373,52.00,0.000627,16.80,153,1
16,256,272,8x8x8,8,8,8,5143,0.994945,67.00,0.005055,21.57,210,1
16,256,272,16x8x8,16,8,8,3437,0.980797,92.00,0.019203,29.09,327,1
16,256,272,16x16x8,16,16,8,2340,0.958547,121.00,0.041453,38.78,488,0
17,272,288,4x4x8,4,4,8,10704,1.000000,37.85,0.000000,12.43,109,1
17,272,288,8x4x8,8,4,8,6995,0.999285,49.00,0.000715,15.95,144,1
17,272,288,8x8x8,8,8,8,4600,0.997609,66.00,0.002391,20.13,186,1
17,272,288,16x8x8,16,8,8,3035,0.984185,87.00,0.015815,27.22,228,1
17,272,288,16x16x8,16,16,8,2098,0.961868,114.15,0.038132,35.55,313,0
18,288,304,4x4x8,4,4,8,9232,1.000000,36.45,0.000000,12.12,91,1
18,288,304,8x4x8,8,4,8,6088,1.000000,48.65,0.000000,15.33,114,1
18,288,304,8x8x8,8,8,8,4091,0.998289,62.00,0.001711,18.87,159,1
18,288,304,16x8x8,16,8,8,2789,0.989243,85.00,0.010757,24.75,260,1
18,288,304,16x16x8,16,16,8,1958,0.967314,109.15,0.032686,31.97,311,0
19,304,320,4x4x8,4,4,8,8530,0.999531,38.00,0.000469,12.49,152,1
19,304,320,8x4x8,8,4,8,5691,0.998946,48.00,0.001054,15.69,210,1
19,304,320,8x8x8,8,8,8,3845,0.996099,62.00,0.003901,19.43,313,1
19,304,320,16x8x8,16,8,8,2649,0.987165,82.00,0.012835,25.14,329,1
19,304,320,16x16x8,16,16,8,1854,0.966019,102.00,0.033981,32.45,402,0
20,320,336,4x4x8,4,4,8,7345,1.000000,35.00,0.000000,11.64,111,1
20,320,336,8x4x8,8,4,8,4844,0.999174,46.00,0.000826,14.63,161,1
20,320,336,8x8x8,8,8,8,3269,0.997247,57.00,0.002753,18.14,179,1
20,320,336,16x8x8,16,8,8,2295,0.989978,79.30,0.010022,23.31,317,1
20,320,336,16x16x8,16,16,8,1640,0.971341,98.00,0.028659,29.41,355,1
21,336,352,4x4x8,4,4,8,6347,1.000000,30.00,0.000000,10.41,83,1
21,336,352,8x4x8,8,4,8,4280,1.000000,38.00,0.000000,12.86,107,1
21,336,352,8x8x8,8,8,8,2934,0.999318,48.00,0.000682,15.74,142,1
21,336,352,16x8x8,16,8,8,2044,0.997065,64.00,0.002935,20.20,167,1
21,336,352,16x16x8,16,16,8,1478,0.989175,81.15,0.010825,25.22,198,1
